tf 	gene 	score_Tissue1 	score_Tissue2
POU6F1 	CCDC6	0.0405225	0.0
POU6F1 	CREB3	0.000555843	0.0
POU6F1 	CREB3L2	0.013991	0.0
POU6F1 	E2F2	0.000270703	0.0
POU6F1 	ELF2	0.00848498	0.0
POU6F1 	ESR2	0.000718458	0.0
POU6F1 	ETV5	0.0495647	0.0
POU6F1 	ETV7	0.000414519	0.0
POU6F1 	FOXP1	0.00831554	0.0
POU6F1 	NFKB1	0.00179499	0.0
POU6F1 	NKX2-5	0.000165272	0.0
POU6F1 	NKX3-1	0.00100858	0.0
POU6F1 	NKX3-2	0.000975761	0.0
POU6F1 	NR2F2	0.0916901	0.0
POU6F1 	OTX2	0.0892857	0.0
