sample 	 sampleLabel 	 sampleAnatomicalEntityUberon 	 sampleAnatomicalEntityUberonLabel
CNhs11846 	 carcinoid cell line:SK-PN-DW 	 http://purl.obolibrary.org/obo/UBERON_0003693 	 retroperitoneal space
CNhs11870 	 liposarcoma cell line:KMLS-1 	 http://purl.obolibrary.org/obo/UBERON_0003693 	 retroperitoneal space
