gene
FIGLA
AHR
AIRE
ALX1
ALX3
ALX4
AR
ARHGEF12
ARID3A
ARID5A
ARID5B
ARNT
ARNTL
ARX
ASCL2
ATF1
ATF2
ATF3
ATF4
ATF6
ATF7
ATOH1
BACH1
BACH2
BARHL1
BARHL2
BARX1
BARX2
BATF3
BBX
BCL6B
BHLHA15
BHLHE22
BHLHE23
BHLHE40
BHLHE41
BPTF
BRCA1
BSX
CBX5
CCDC6
CDC5L
CDX1
CDX2
CEBPA
CEBPB
CEBPD
CEBPE
CEBPG
CENPB
CLOCK
CPEB1
CREB1
CREB3
CREB3L1
CREB3L2
CREB5
CRX
CTCF
CUX1
CUX2
DBP
DBX1
DBX2
DDIT3
DLX1
DLX2
DLX3
DLX4
DLX5
DLX6
DMBX1
DMRT1
DMRT2
DMRT3
DMRTA1
DMRTA2
DMRTC2
DPRX
DRGX
DUXA
E2F1
E2F2
E2F3
E2F4
E2F7
E2F8
E4F1
EBF1
EGR1
EGR2
EGR3
EGR4
EHF
ELF1
ELF2
ELF3
ELF4
ELF5
ELK1
ELK3
ELK4
EMX1
EMX2
EN1
EN2
EOMES
EP300
ERF
ERG
ESR1
ESR2
ESRRA
ESRRB
ESRRG
ESX1
ETS1
ETS2
ETV1
ETV2
ETV3
ETV4
ETV5
ETV6
ETV7
EVX1
EVX2
EWSR1
FEV
FLI1
FOXA1
FOXA2
FOXB1
FOXC1
FOXC2
FOXD1
FOXD2
FOXD3
FOXF1
FOXF2
FOXG1
FOXI1
FOXJ1
FOXJ2
FOXJ3
FOXK1
FOXL1
FOXM1
FOXN1
FOXO1
FOXO3
FOXO4
FOXP1
FOXP3
FOXQ1
GABPA
GATA1
GATA2
GATA3
GATA4
GATA5
GATA6
GBX1
GBX2
GCM1
GCM2
GFI1
GFI1B
GLI2
GLIS1
GLIS2
GLIS3
GMEB1
GMEB2
GRHL1
GSC
GSC2
GSX1
GSX2
GTF2I
GZF1
HAND1
HBP1
HDX
HERPUD1
HES1
HES5
HES7
HESX1
HEY1
HEY2
HIC1
HIC2
HIF1A
HINFP
HLF
HLTF
HLX
HMBOX1
HMGA1
HMX1
HMX2
HMX3
HNF1A
HNF1B
HNF4A
HOMEZ
HOXA1
HOXA10
HOXA11
HOXA13
HOXA2
HOXA3
HOXA4
HOXA5
HOXA6
HOXA7
HOXA9
HOXB13
HOXB2
HOXB3
HOXB4
HOXB5
HOXB6
HOXB7
HOXB8
HOXB9
HOXC10
HOXC11
HOXC12
HOXC13
HOXC4
HOXC5
HOXC6
HOXC8
HOXC9
HOXD1
HOXD10
HOXD11
HOXD12
HOXD3
HOXD8
HOXD9
HSF1
HSF2
HSF4
HSFY2
ID4
IKZF1
IKZF2
IKZF3
INSM1
IRF1
IRF2
IRF3
IRF4
IRF5
IRF6
IRF7
IRF8
IRF9
IRX2
IRX3
IRX4
IRX5
IRX6
ISL2
ISX
ITGB2
JDP2
KLF12
KLF13
KLF14
KLF16
KLF4
KLF7
LBX2
LEF1
LHX1
LHX2
LHX3
LHX4
LHX5
LHX6
LHX8
LHX9
LMO2
LMX1A
LMX1B
MAF
MAFB
MAFF
MAFG
MAFK
MAX
MAZ
MEF2A
MEF2B
MEF2D
MEIS1
MEIS2
MEIS3
MEOX1
MEOX2
MESP1
MGA
MIXL1
MLX
MLXIPL
MNT
MNX1
MSC
MSX1
MSX2
MTF1
MYB
MYBL1
MYBL2
MYC
MYCN
MYEF2
MYF6
MYOD1
MYOG
MZF1
NANOG
NEUROD2
NEUROG2
NFAT5
NFATC1
NFATC2
NFE2
NFE2L1
NFE2L2
NFIA
NFIB
NFIC
NFIL3
NFIX
NFKB1
NFKB2
NFYA
NHLH1
NKX1-1
NKX1-2
NKX2-1
NKX2-2
NKX2-3
NKX2-4
NKX2-5
NKX2-6
NKX2-8
NKX3-1
NKX3-2
NKX6-1
NKX6-2
NKX6-3
NOBOX
NOTO
NR1H4
NR2C2
NR2E1
NR2F1
NR2F2
NR2F6
NR3C1
NR3C2
NR4A2
NR5A1
NR5A2
NR6A1
NRF1
NRL
OLIG1
OLIG2
OLIG3
ONECUT1
ONECUT2
ONECUT3
OSR1
OSR2
OTP
OTX1
OTX2
OVOL2
PATZ1
PAX1
PAX2
PAX3
PAX4
PAX5
PAX6
PAX7
PAX8
PAX9
PBX1
PDX1
PGR
PHOX2A
PHOX2B
PITX1
PITX2
PITX3
PKNOX1
PKNOX2
PLAG1
PLAGL1
POU1F1
POU2F1
POU2F2
POU2F3
POU3F1
POU3F2
POU3F3
POU3F4
POU4F1
POU4F2
POU4F3
POU5F1
POU5F1B
POU6F1
POU6F2
PPARA
PPARG
PRDM1
PRDM4
PROP1
PROX1
PRRX1
PRRX2
PTEN
PTF1A
RARA
RARB
RARG
RAX
RAX2
RBPJ
REL
RELA
REST
RFX1
RFX2
RFX3
RFX4
RFX5
RFX7
RHOXF1
RHOXF2
RORA
RREB1
RUNX1
RUNX2
RUNX3
RXRA
RXRB
RXRG
SCRT1
SCRT2
SHOX
SHOX2
SIX1
SIX2
SIX3
SIX4
SIX6
SMAD3
SMAD4
SNAI2
SOX1
SOX10
SOX11
SOX12
SOX13
SOX14
SOX15
SOX17
SOX18
SOX2
SOX21
SOX3
SOX30
SOX4
SOX5
SOX7
SOX8
SOX9
SP1
SP100
SP3
SP4
SP8
SPDEF
SPI1
SPIB
SPIC
SPZ1
SREBF1
SREBF2
SRF
SRY
STAT1
STAT3
STAT4
STAT5A
STAT5B
STAT6
T
TAL1
TBP
TBR1
TBX1
TBX15
TBX19
TBX20
TBX21
TBX4
TBX5
TCF12
TCF21
TCF3
TCF4
TCF7
TCF7L1
TCF7L2
TEAD1
TEAD2
TEAD3
TEAD4
TEF
TFAP2A
TFAP2B
TFAP2C
TFAP2E
TFAP4
TFCP2
TFCP2L1
TFE3
TFEB
TFEC
TGIF1
TGIF2
TGIF2LX
THRA
THRB
TLX2
TOPORS
TP53
TP63
TP73
UNCX
USF1
USF2
VAX1
VAX2
VDR
VENTX
VSX1
VSX2
WT1
XBP1
YY1
YY2
ZBED1
ZBTB12
ZBTB14
ZBTB16
ZBTB18
ZBTB3
ZBTB33
ZBTB49
ZBTB6
ZBTB7A
ZBTB7B
ZBTB7C
ZEB1
ZFX
ZIC1
ZIC2
ZIC3
ZIC4
ZKSCAN3
ZNF143
ZNF219
ZNF232
ZNF281
ZNF282
ZNF35
ZNF350
ZNF354C
ZNF384
ZNF410
ZNF423
ZNF524
ZNF589
ZNF628
ZNF652
ZNF691
ZNF713
ZNF740
ZNF75A
ZNF784
ZNF8
ZSCAN16
ZSCAN4
AACS
