Sample	Id_Fantom5	Tissue
CNhs10649	FF:10042-101F6	corpus_callosum-adult
CNhs11779	FF:10069-101I6	diaphragm-fetal
CNhs12610	FF:10193-103E4	diencephalon-adult
CNhs12846	FF:10196-103E7	ductus_deferens-adult
CNhs11781	FF:10071-101I8	duodenum-fetal
CNhs12997	FF:10071-101I8	duodenum-fetal
CNhs10648	FF:10041-101F5	dura_mater-adult
CNhs12847	FF:10197-103E8	epididymis-adult
CNhs10620	FF:10015-101C6	esophagus-adult
CNhs11762	FF:10054-101G9	eye-fetal
CNhs10647	FF:10040-101F4	frontal_lobe-adult
CNhs12848	FF:10198-103E9	gall_bladder-adult
CNhs13801	FF:10175-103C4	globus_pallidus-adult
CNhs12319	FF:10161-103A8	globus_pallidus-adult
CNhs12855	FF:10205-103F7	heart-mitral_valve-adult
CNhs12856	FF:10206-103F8	heart-pulmonic_valve-adult
CNhs12857	FF:10207-103F9	heart-tricuspid_valve-adult
CNhs11757	FF:10050-101G5	heart-adult
CNhs11758	FF:10051-101G6	heart-adult
CNhs10621	FF:10016-101C7	heart-adult
CNhs10653	FF:10046-101G1	heart-fetal
CNhs13795	FF:10169-103B7	hippocampus-adult
CNhs12312	FF:10153-102I9	hippocampus-adult
CNhs10646	FF:10039-101F3	insula-adult
CNhs10622	FF:10017-101C8	kidney-adult
CNhs10652	FF:10045-101F9	kidney-fetal
CNhs11790	FF:10079-102A7	left_atrium-adult
CNhs11789	FF:10078-102A6	left_ventricle-adult
CNhs10624	FF:10018-101C9	liver-adult
CNhs11798	FF:10086-102B5	liver-fetal
CNhs13808	FF:10182-103D2	locus_coeruleus-adult
CNhs12322	FF:10165-103B3	locus_coeruleus-adult
CNhs10625	FF:10019-101D1	lung-adult
CNhs11680	FF:10068-101I5	lung-fetal
CNhs11786	FF:10075-102A3	lung-right_lower_lobe-adult
CNhs11788	FF:10077-102A5	lymph_node-adult
CNhs13796	FF:10170-103B8	medial_frontal_gyrus-adult
CNhs12310	FF:10150-102I6	medial_frontal_gyrus-adult
CNhs13809	FF:10183-103D3	medial_temporal_gyrus-adult
CNhs12316	FF:10156-103A3	medial_temporal_gyrus
CNhs13800	FF:10174-103C3	medulla_oblongata-adult
CNhs12315	FF:10155-103A2	medulla_oblongata-adult
CNhs10645	FF:10038-101F2	medulla_oblongata-adult
CNhs10644	FF:10037-101F1	nucleus_accumbens-adult
CNhs13798	FF:10172-103C1	occipital_cortex-adult
CNhs12320	FF:10163-103B1	occipital_cortex-adult
CNhs11787	FF:10076-102A4	occipital_lobe-adult
CNhs11784	FF:10073-102A1	occipital_lobe-fetal
CNhs10643	FF:10036-101E9	occipital_pole-adult
CNhs12611	FF:10195-103E6	olfactory_region-adult
CNhs13449	FF:10277-104E7	optic_nerve
CNhs10626	FF:10020-101D2	ovary-adult
CNhs11756	FF:10049-101G4	pancreas-adult
CNhs10642	FF:10035-101E8	paracentral_gyrus-adult
CNhs13797	FF:10171-103B9	parietal_lobe-adult
CNhs12317	FF:10157-103A4	parietal_lobe-adult
CNhs10641	FF:10034-101E7	parietal_lobe-adult
CNhs11782	FF:10072-101I9	parietal_lobe-fetal
CNhs12849	FF:10199-103F1	parotid_gland-adult
CNhs12850	FF:10200-103F2	penis-adult
CNhs13804	FF:10179-103C8	pineal_gland-adult
CNhs12228	FF:10160-103A7	pineal_gland-adult
CNhs13805	FF:10180-103C9	pituitary_gland-adult
CNhs12229	FF:10162-103A9	pituitary_gland-adult
CNhs10627	FF:10021-101D3	placenta-adult
CNhs10640	FF:10033-101E6	pons-adult
CNhs10638	FF:10032-101E5	postcentral_gyrus-adult
CNhs10628	FF:10022-101D4	prostate-adult
CNhs12324	FF:10176-103C5	putamen-adult
CNhs11777	FF:10067-101I4	rectum-fetal
CNhs10636	FF:10030-101E3	retina-adult
CNhs11677	FF:10093-102C3	salivary_gland-adult
CNhs12851	FF:10201-103F3	seminal_vesicle-adult
CNhs13454	FF:10282-104F3	skeletal_muscle-soleus_muscle
CNhs10629	FF:10023-101D5	skeletal_muscle-adult
CNhs11776	FF:10066-101I3	skeletal_muscle-fetal
CNhs11774	FF:10065-101I2	skin-fetal
CNhs10630	FF:10024-101D6	small_intestine-adult
CNhs11773	FF:10064-101I1	small_intestine-fetal
CNhs11755	FF:10048-101G3	smooth_muscle-adult
CNhs13807	FF:10181-103D1	spinal_cord-adult
CNhs12227	FF:10159-103A6	spinal_cord-adult
CNhs11764	FF:10056-101H2	spinal_cord-fetal
CNhs10631	FF:10025-101D7	spleen-adult
CNhs10651	FF:10044-101F8	spleen-fetal
CNhs11771	FF:10062-101H8	stomach-fetal
CNhs12852	FF:10202-103F4	submaxillary_gland-adult
CNhs12318	FF:10158-103A5	substantia_nigra-adult
CNhs10637	FF:10031-101E4	temporal_lobe-adult
CNhs12996	FF:10063-101H9	temporal_lobe-fetal
CNhs11772	FF:10063-101H9	temporal_lobe-fetal
CNhs10632	FF:10026-101D8	testis-adult
CNhs12998	FF:10096-102C6	testis-adult
CNhs13794	FF:10168-103B6	thalamus-adult
CNhs12314	FF:10154-103A1	thalamus-adult
CNhs12858	FF:10209-103G2	throat-adult
CNhs11770	FF:10061-101H7	throat-fetal
CNhs10633	FF:10027-101D9	thymus-adult
CNhs10650	FF:10043-101F7	thymus-fetal
CNhs10634	FF:10028-101E1	thyroid-adult
CNhs11769	FF:10060-101H6	thyroid-fetal
CNhs12853	FF:10203-103F5	tongue-adult
CNhs11768	FF:10059-101H5	tongue-fetal
CNhs10654	FF:10047-101G2	tonsil-adult
CNhs10635	FF:10029-101E2	trachea-adult
CNhs11766	FF:10058-101H4	trachea-fetal
CNhs11765	FF:10057-101H3	umbilical_cord-fetal
CNhs11676	FF:10100-102D1	uterus-adult
CNhs11763	FF:10055-101H1	uterus-fetal
CNhs12854	FF:10204-103F6	vagina-adult
CNhs12844	FF:10191-103E2	vein-adult
CNhs10728	FF:10410-106B5	extraskeletal_myxoid_chondrosarcoma_cell_line
CNhs11923	FF:11261-116G1	Chondrocyte-de_diff
CNhs11372	FF:11338-117F6	Chondrocyte-de_diff
CNhs12020	FF:11410-118E6	Chondrocyte-de_diff
CNhs11373	FF:11339-117F7	Chondrocyte-re_diff
CNhs12021	FF:11411-118E7	Chondrocyte-re_diff
CNhs10871	FF:11242-116D9	Ciliary_Epithelial_Cells
CNhs11966	FF:11323-117D9	Ciliary_Epithelial_Cells
CNhs12009	FF:11399-118D4	Ciliary_Epithelial_Cells
CNhs11840	FF:10709-109H7	bronchioalveolar_carcinoma_cell_line
CNhs11336	FF:11526-119I5	Corneal_Epithelial_Cells
CNhs12123	FF:11687-122I4	Corneal_Epithelial_Cells
CNhs10855	FF:11227-116C3	Dendritic_Cells-monocyte_immature_derived
CNhs11062	FF:11227-116C3	Dendritic_Cells-monocyte_immature_derived
CNhs12000	FF:11384-118B7	Dendritic_Cells-monocyte_immature_derived
CNhs10857	FF:11228-116C4	Dendritic_Cells-plasmacytoid
CNhs11100	FF:10438-106E6	ductal_cell_carcinoma_cell_line
CNhs11259	FF:10488-107B2	ductal_cell_carcinoma_cell_line
CNhs11883	FF:10797-110I5	tubular_adenocarcinoma_cell_line
CNhs10750	FF:10432-106D9	bile_duct_carcinoma_cell_line
CNhs11265	FF:10496-107C1	bile_duct_carcinoma_cell_line
CNhs11283	FF:10536-107G5	cholangiocellular_carcinoma_cell_line
CNhs12074	FF:11514-119H2	Renal_Glomerular_Endothelial_Cells
CNhs12086	FF:11594-120H1	Renal_Glomerular_Endothelial_Cells
CNhs12624	FF:11675-122H1	Renal_Glomerular_Endothelial_Cells
CNhs10865	FF:11236-116D3	Endothelial_Cells-Lymphatic
CNhs11901	FF:11317-117D3	Endothelial_Cells-Lymphatic
CNhs11906	FF:11393-118C7	Endothelial_Cells-Lymphatic
CNhs13056	FF:10832-111D4	acute_myeloid_leukemia-FAB_M4eo-cell_line
CNhs13057	FF:10833-111D5	acute_myeloid_leukemia-FAB_M4eo-cell_line
CNhs12325	FF:10815-111B5	epitheloid_cancer_cell_line
CNhs12326	FF:10816-111B6	epitheloid_cancer_cell_line
CNhs12327	FF:10817-111B7	epitheloid_cancer_cell_line
CNhs11061	FF:11221-116B6	Gingival_epithelial_cells
CNhs11896	FF:11302-117B6	Gingival_epithelial_cells
CNhs11903	FF:11379-118B2	Gingival_epithelial_cells
CNhs11972	FF:11331-117E8	Prostate_Epithelial_Cells
CNhs12014	FF:11404-118D9	Prostate_Epithelial_Cells
CNhs10882	FF:11253-116F2	Prostate_Epithelial_Cells
CNhs12589	FF:12226-129F3	nasal_epithelial_cells
CNhs12574	FF:12227-129F4	nasal_epithelial_cells
CNhs11332	FF:11517-119H5	Renal_Epithelial_Cells
CNhs12088	FF:11597-120H4	Renal_Epithelial_Cells
CNhs12732	FF:11678-122H4	Renal_Epithelial_Cells
CNhs11330	FF:11515-119H3	Renal_Proximal_Tubular_Epithelial_Cell
CNhs12087	FF:11595-120H2	Renal_Proximal_Tubular_Epithelial_Cell
CNhs12120	FF:11676-122H2	Renal_Proximal_Tubular_Epithelial_Cell
CNhs11331	FF:11516-119H4	Renal_Cortical_Epithelial_Cells
CNhs12728	FF:11596-120H3	Renal_Cortical_Epithelial_Cells
CNhs12054	FF:11453-119A4	Bronchial_Epithelial_Cell
CNhs12058	FF:11457-119A8	Bronchial_Epithelial_Cell
CNhs12062	FF:11461-119B3	Bronchial_Epithelial_Cell
CNhs11325	FF:11510-119G7	Alveolar_Epithelial_Cells
CNhs12084	FF:11590-120G6	Alveolar_Epithelial_Cells
CNhs13550	FF:11929-125I3	Mallassez-derived_cells
CNhs13551	FF:11930-125I4	Mallassez-derived_cells
CNhs11950	FF:10812-111B2	normal_intestinal_epithelial_cell_line
CNhs10875	FF:11246-116E4	Intestinal_epithelial_cells-polarized
CNhs13059	FF:10835-111D7	acute_myeloid_leukemia-FAB_M6-cell_line
CNhs13060	FF:10836-111D8	acute_myeloid_leukemia-FAB_M6-cell_line
CNhs13505	FF:10837-111D9	acute_myeloid_leukemia-FAB_M6-cell_line
CNhs11323	FF:11507-119G4	Esophageal_Epithelial_Cells
CNhs11729	FF:10600-108E6	myxofibrosarcoma_cell_line
CNhs11821	FF:10684-109E9	myxofibrosarcoma_cell_line
CNhs10874	FF:11245-116E3	Fibroblast-Aortic_Adventitial
CNhs12011	FF:11401-118D6	Fibroblast-Aortic_Adventitial
CNhs12498	FF:11268-116G8	Fibroblast-Cardiac
CNhs11378	FF:11345-117G4	Fibroblast-Cardiac
CNhs12027	FF:11417-118F4	Fibroblast-Cardiac
CNhs11909	FF:11452-119A3	Fibroblast-Cardiac
CNhs12057	FF:11456-119A7	Fibroblast-Cardiac
CNhs12061	FF:11460-119B2	Fibroblast-Cardiac
CNhs11319	FF:11492-119E7	Fibroblast-Choroid_Plexus
CNhs12344	FF:11572-120E6	Fibroblast-Choroid_Plexus
CNhs11339	FF:11531-120A1	Fibroblast-Conjunctival
CNhs12499	FF:11269-116G9	Fibroblast-Dermal
CNhs11379	FF:11346-117G5	Fibroblast-Dermal
CNhs12028	FF:11418-118F5	Fibroblast-Dermal
CNhs12052	FF:11450-119A1	Fibroblast-Dermal
CNhs12055	FF:11454-119A5	Fibroblast-Dermal
CNhs12059	FF:11458-119A9	Fibroblast-Dermal
CNhs10866	FF:11237-116D4	Fibroblast-Gingival
CNhs11961	FF:11318-117D4	Fibroblast-Gingival
CNhs12006	FF:11394-118C8	Fibroblast-Gingival
CNhs10848	FF:11222-116B7	Fibroblast-Gingival
CNhs11952	FF:11303-117B7	Fibroblast-Gingival
CNhs11322	FF:11506-119G3	Fibroblast-Lymphatic
CNhs12118	FF:11667-122G2	Fibroblast-Lymphatic
CNhs10867	FF:11238-116D5	Fibroblast-Periodontal_Ligament-fetal
CNhs11962	FF:11319-117D5	Fibroblast-Periodontal_Ligament-fetal
CNhs11907	FF:11395-118C9	Fibroblast-Periodontal_Ligament-fetal
CNhs12493	FF:11223-116B8	Fibroblast-Periodontal_Ligament-adult
CNhs11953	FF:11304-117B8	Fibroblast-Periodontal_Ligament-adult
CNhs11996	FF:11380-118B3	Fibroblast-Periodontal_Ligament-adult
CNhs10878	FF:11250-116E8	Fibroblast-Pulmonary_Artery
CNhs11353	FF:11556-120C8	Fibroblast-skin_dystrophia_myotonica
CNhs11354	FF:11557-120C9	Fibroblast-skin_dystrophia_myotonica
CNhs11913	FF:11560-120D3	Fibroblast-skin_dystrophia_myotonica
CNhs11351	FF:11553-120C5	Fibroblast-skin_normal
CNhs11914	FF:11561-120D4	Fibroblast-skin_normal
CNhs11074	FF:11555-120C7	Fibroblast-skin_spinal_muscular_atrophy
CNhs11911	FF:11558-120D1	Fibroblast-skin_spinal_muscular_atrophy
CNhs11912	FF:11559-120D2	Fibroblast-skin_spinal_muscular_atrophy
CNhs11352	FF:11554-120C6	Fibroblast-skin_walker_warburg
CNhs11878	FF:10790-110H7	teratocarcinoma_cell_line
CNhs11884	FF:10798-110I6	teratocarcinoma_cell_line
CNhs11185	FF:10444-106F3	glioma_cell_line
CNhs11248	FF:10444-106F3	glioma_cell_line
CNhs11272	FF:10485-107A8	glioma_cell_line
CNhs10731	FF:10413-106B8	glioma_cell_line
CNhs11250	FF:10454-106G4	chronic_myelogenous_leukemia-CML-cell_line
CNhs12334	FF:10824-111C5	chronic_myelogenous_leukemia-CML-cell_line
CNhs12335	FF:10825-111C6	chronic_myelogenous_leukemia-CML-cell_line
CNhs12336	FF:10826-111C7	chronic_myelogenous_leukemia-CML-cell_line
CNhs11886	FF:10801-110I9	chronic_myelogenous_leukemia-CML-cell_line
CNhs11740	FF:10624-108H3	granulosa_cell_tumor_cell_line
CNhs12501	FF:11271-116H2	Hair_Follicle_Dermal_Papilla_Cells
CNhs11979	FF:11348-117G7	Hair_Follicle_Dermal_Papilla_Cells
CNhs12030	FF:11420-118F7	Hair_Follicle_Dermal_Papilla_Cells
CNhs10730	FF:10412-106B7	malignant_trichilemmal_cyst_cell_line
CNhs12339	FF:11504-119G1	Hair_Follicle_Outer_Root_Sheath_Cells
CNhs12347	FF:11584-120F9	Hair_Follicle_Outer_Root_Sheath_Cells
CNhs12075	FF:11521-119H9	Hepatic_Sinusoidal_Endothelial_Cells
CNhs12092	FF:11601-120H8	Hepatic_Sinusoidal_Endothelial_Cells
CNhs11742	FF:10633-108I3	hepatoblastoma_cell_line
CNhs12328	FF:10818-111B8	hepatocellular_carcinoma_cell_line
CNhs12329	FF:10819-111B9	hepatocellular_carcinoma_cell_line
CNhs12330	FF:10820-111C1	hepatocellular_carcinoma_cell_line
CNhs11271	FF:10484-107A7	hepatocellular_carcinoma_cell_line
CNhs11933	FF:10706-109H4	pleomorphic_hepatocellular_carcinoma_cell_line
CNhs12340	FF:11523-119I2	Hepatocyte
CNhs12349	FF:11603-120I1	Hepatocyte
CNhs12626	FF:11684-122I1	Hepatocyte
CNhs12596	FF:11530-119I9	Iris_Pigment_Epithelial_Cells
CNhs11064	FF:11272-116H3	Keratinocyte-epidermal
CNhs11381	FF:11349-117G8	Keratinocyte-epidermal
CNhs12031	FF:11421-118F8	Keratinocyte-epidermal
CNhs10879	FF:11251-116E9	Keratinocyte-oral
CNhs11337	FF:11527-119I6	Keratocytes
CNhs12095	FF:11607-120I5	Keratocytes
CNhs13537	FF:11904-125F5	langerhans_cells-immature
CNhs13480	FF:11905-125F6	langerhans_cells-immature
CNhs13535	FF:11901-125F2	langerhans_cells-migratory
CNhs13536	FF:11902-125F3	langerhans_cells-migratory
CNhs13547	FF:11903-125F4	langerhans_cells-migratory
CNhs11750	FF:10647-109A8	lens_epithelial_cell_line
CNhs12342	FF:11529-119I8	Lens_Epithelial_Cells
CNhs12568	FF:11609-120I7	Lens_Epithelial_Cells
CNhs12572	FF:11690-122I7	Lens_Epithelial_Cells
CNhs11715	FF:10435-106E3	Hodgkins_lymphoma_cell_line
CNhs10747	FF:10430-106D7	non_T_non_B_acute_lymphoblastic_leukemia-ALL-cell_line
CNhs11881	FF:10795-110I3	anaplastic_large_cell_lymphoma_cell_line
CNhs10861	FF:11232-116C8	Macrophage-monocyte_derived
CNhs11899	FF:11313-117C8	Macrophage-monocyte_derived
CNhs12003	FF:11389-118C3	Macrophage-monocyte_derived
CNhs11077	FF:11273-116H4	Mammary_Epithelial_Cell
CNhs11382	FF:11350-117G9	Mammary_Epithelial_Cell
CNhs12032	FF:11422-118F9	Mammary_Epithelial_Cell
CNhs11073	FF:11487-119E2	Mast_cell
CNhs12566	FF:11563-120D6	Mast_cell
CNhs12594	FF:11565-120D8	Mast_cell
CNhs12593	FF:11566-120D9	Mast_cell
CNhs12592	FF:11567-120E1	Mast_cell
CNhs13049	FF:10699-109G6	acute_myeloid_leukemia-FAB_M7-cell_line
CNhs11859	FF:10752-110D5	leukemia-chronic_megakaryoblastic__cell_line
CNhs11281	FF:10514-107E1	melanoma_cell_line
CNhs11254	FF:10465-106H6	melanoma_cell_line
CNhs12570	FF:11663-122F7	Melanocyte
CNhs11303	FF:11274-116H5	Melanocyte
CNhs11383	FF:11351-117H1	Melanocyte
CNhs12033	FF:11423-118G1	Melanocyte
CNhs11945	FF:10691-109F7	meningioma_cell_line
CNhs11320	FF:11493-119E8	Meningeal_Cells
CNhs12080	FF:11573-120E7	Meningeal_Cells
CNhs12731	FF:11654-122E7	Meningeal_Cells
CNhs12838	FF:10843-111E6	merkel_cell_carcinoma_cell_line
CNhs12839	FF:10844-111E7	merkel_cell_carcinoma_cell_line
CNhs11333	FF:11518-119H6	Renal_Mesangial_Cells
CNhs12121	FF:11679-122H5	Renal_Mesangial_Cells
CNhs13508	FF:11843-124H7	serous_adenocarcinoma_cell_line
CNhs13099	FF:11841-124H5	serous_adenocarcinoma_cell_line
CNhs12363	FF:11747-123G1	mesenchymal_precursor_cell-adipose
CNhs12364	FF:11748-123G2	mesenchymal_precursor_cell-adipose
CNhs12365	FF:11749-123G3	mesenchymal_precursor_cell-adipose
CNhs12366	FF:11750-123G4	mesenchymal_precursor_cell-bone_marrow
CNhs12367	FF:11751-123G5	mesenchymal_precursor_cell-bone_marrow
CNhs13098	FF:11840-124H4	mesenchymal_precursor_cell-bone_marrow
CNhs12368	FF:11752-123G6	mesenchymal_precursor_cell-cardiac
CNhs12369	FF:11753-123G7	mesenchymal_precursor_cell-cardiac
CNhs12370	FF:11754-123G8	mesenchymal_precursor_cell-cardiac
CNhs12371	FF:11755-123G9	mesenchymal_precursor_cell-cardiac
CNhs12372	FF:11756-123H1	mesenchymal_precursor_cell-ovarian_cancer_left_ovary
CNhs13092	FF:11833-124G6	mesenchymal_precursor_cell-ovarian_cancer_left_ovary
CNhs12376	FF:11760-123H5	mesenchymal_precursor_cell-ovarian_cancer_left_ovary
CNhs13094	FF:11836-124G9	mesenchymal_precursor_cell-ovarian_cancer_left_ovary
CNhs12374	FF:11758-123H3	mesenchymal_precursor_cell-ovarian_cancer_metastasis
CNhs13093	FF:11835-124G8	mesenchymal_precursor_cell-ovarian_cancer_metastasis
CNhs12378	FF:11762-123H7	mesenchymal_precursor_cell-ovarian_cancer_metastasis
CNhs13097	FF:11838-124H2	mesenchymal_precursor_cell-ovarian_cancer_metastasis
CNhs12373	FF:11757-123H2	mesenchymal_precursor_cell-ovarian_cancer_right_ovary
CNhs12375	FF:11759-123H4	mesenchymal_precursor_cell-ovarian_cancer_right_ovary
CNhs12377	FF:11761-123H6	mesenchymal_precursor_cell-ovarian_cancer_right_ovary
CNhs13507	FF:11842-124H6	mesenchymal_precursor_cell-ovarian_cancer_right_ovary
CNhs13096	FF:11837-124H1	mesenchymal_precursor_cell-ovarian_cancer_right_ovary
CNhs11718	FF:10568-108B1	mesenchymal_stem_cell_line
CNhs11057	FF:11548-120B9	Mesenchymal_stem_cells-Whartons_Jelly
CNhs11345	FF:11537-120A7	Mesenchymal_stem_cells-adipose
CNhs12922	FF:11698-123A6	Mesenchymal_stem_cells-adipose
CNhs11349	FF:11547-120B8	Mesenchymal_stem_cells-amniotic_membrane
CNhs12104	FF:11627-122B7	Mesenchymal_stem_cells-amniotic_membrane
CNhs11344	FF:11536-120A6	Mesenchymal_stem_cells-bone_marrow
CNhs12100	FF:11616-122A5	Mesenchymal_stem_cells-bone_marrow
CNhs12126	FF:11697-123A5	Mesenchymal_stem_cells-bone_marrow
CNhs12730	FF:11618-122A7	Mesenchymal_stem_cells-hepatic
CNhs11347	FF:11539-120A9	Mesenchymal_stem_cells-umbilical
CNhs12127	FF:11700-123A8	Mesenchymal_stem_cells-umbilical
CNhs10844	FF:11217-116B2	Mesenchymal_stem_cells-adipose
CNhs10845	FF:11218-116B3	Mesenchymal_stem_cells-hepatic
CNhs12492	FF:11214-116A8	Mesenchymal_stem_cells-umbilical
CNhs11350	FF:11549-120C1	Multipotent_Cord_Blood_Unrestricted_Somatic_Stem_Cells
CNhs12105	FF:11629-122B9	Multipotent_Cord_Blood_Unrestricted_Somatic_Stem_Cells
CNhs11263	FF:10493-107B7	mesothelioma_cell_line
CNhs11264	FF:10494-107B8	mesothelioma_cell_line
CNhs13066	FF:10850-111F4	mesothelioma_cell_line
CNhs13067	FF:10851-111F5	mesothelioma_cell_line
CNhs13068	FF:10852-111F6	mesothelioma_cell_line
CNhs13069	FF:10853-111F7	mesothelioma_cell_line
CNhs13070	FF:10854-111F8	mesothelioma_cell_line
CNhs13072	FF:10855-111F9	mesothelioma_cell_line
